X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-119.8689386,34.4283531,Lilly's Taqueria,http://www.lillystacos.com/,,,,,-1,0,-1,,
-119.694449,34.414316,Lilly's Taqueria,http://lillystacos.com/,,,,,-1,0,-1,,
-119.686624,34.4275079,Los Agaves Restaurant,http://www.los-agaves.com/,,,,,-1,0,-1,,
-119.8722818,34.4295248,Los Agaves,http://www.los-agaves.com/,,,,,-1,0,-1,,
-119.6872726,34.4279428,La Super-Rica Taqueria,https://www.facebook.com/lasuperricataqueria/,,,,,-1,0,-1,,
-119.7040974,34.4190534,Taqueria Cuernavaca,http://www.cuernavacataqueria.com/santa-barbara,,,,,-1,0,-1,,
-119.699445,34.41758,Romanti-Ezer,http://romanti-ezer.com/,,,,,-1,0,-1,,
-119.7616719,34.439412,El Rincon Bohemio,http://www.menuclub.com/californiarestaurantguide/santabarbararestaurants/elrinconbohemio-7747.php,,,,,-1,0,-1,,
