X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-119.7323331,34.4405308,TAP Thai cuisine,http://www.tapthaicuisine.com/,,,,,-1,0,-1,,
-119.5216446,34.3964642,Siam Elephant Thai Restaurant,http://www.siamelephantusa.com/,,,,,-1,0,-1,,
-119.736791,34.440628,Your Choice Restaurant,http://www.yourchoicerestaurant.com/,,,,,-1,0,-1,,
